"CLINIC_ID","STRIPE_SUBSCRIPTION_ID","SUBSCRIPTION_START_DATE","SUBSCRIPTION_END_DATE","SUBSCRIPTION_CURRENT_PERIOD_STARTED_AT","SUBSCRIPTION_CURRENT_PERIOD_ENDS_AT","MOST_RECENT_INVOICE_CREATED_AT","LAST_PAYMENT_AT","CHECKOUT_STATUS","SUBSCRIPTION_STATUS","BILLING_INTERVAL_IN_MONTHS","FIRST_PAYMENT_METHOD_TYPE","FIRST_CARD_BRAND","FIRST_PAYMENT_AMOUNT","FIRST_PAYMENT_AMOUNT_OFF","FIRST_PAYMENT_PROMOTION_CODE","FIRST_PAYMENT_COUPON_ID","FIRST_PAYMENT_AMOUNT_OFF_2"
9586,"sub_1NhjK0CpjOdJI4gTriMMDjUt","2023-08-21",,"2023-08-21 22:23:52.000","2024-08-21 22:23:52.000","2023-08-21 22:23:52.000","2023-08-21 22:23:54.000","complete","active","12","Cartão de Crédito","visa",838.8,,,,
9570,"sub_1NhgX3CpjOdJI4gTPziFgTeh","2023-08-21",,"2023-09-21 19:25:09.000","2023-10-21 19:25:09.000","2023-09-21 19:33:02.000","2023-09-21 21:29:36.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9565,"sub_1NhXxMCpjOdJI4gTBTMoNlzE","2023-08-21","2023-10-21","2023-09-21 10:15:44.000","2023-10-21 10:15:44.000","2023-09-21 10:18:37.000","2023-09-21 11:28:38.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9439,"sub_1NhbuBCpjOdJI4gTOPYdpx4W","2023-08-21",,"2023-09-21 14:28:43.000","2023-10-21 14:28:43.000","2023-09-21 14:30:17.000","2023-09-21 15:37:24.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9544,"sub_1NhynRCpjOdJI4gT4t90O8Lx","2023-08-22",,"2023-09-22 14:55:17.000","2023-10-22 14:55:17.000","2023-09-22 14:55:43.000","2023-09-29 10:22:58.000","open","active","1","Cartão de Crédito","visa",89.9,,,,
9612,"sub_1Nhz8eCpjOdJI4gTNHHvJ7Fs","2023-08-22",,"2023-09-22 15:17:12.000","2023-10-22 15:17:12.000","2023-09-22 15:22:03.000","2023-09-22 16:25:59.000","complete","active","1","Cartão de Crédito","mastercard",44.95,,,,
9900,"sub_1NhydTCpjOdJI4gTdNLBt3Dd","2023-08-22",,"2023-08-22 14:44:59.000","2024-08-22 14:44:59.000","2023-08-22 14:44:59.000","2023-08-22 14:45:01.000","complete","active","12","Cartão de Crédito","mastercard",838.8,,,,
9516,"sub_1Ni3f0CpjOdJI4gTkpwUbD7d","2023-08-22",,"2023-09-22 20:06:54.000","2023-10-22 20:06:54.000","2023-09-22 20:07:59.000","2023-09-22 21:08:15.000","complete","active","1","Cartão de Crédito","visa",89.9,,,,
9539,"sub_1NhxnjCpjOdJI4gT1aj9u3Mp","2023-08-22",,"2023-09-22 13:51:31.000","2023-10-22 13:51:31.000","2023-09-22 14:01:15.000","2023-09-22 15:23:20.000","complete","active","1","Cartão de Crédito","mastercard",89.9,,,,
9403,"sub_1Ni2L0CpjOdJI4gTOnDbH5DU","2023-08-22","2024-02-22","2023-08-22 18:42:10.000","2024-02-22 18:42:10.000","2023-08-22 18:42:10.000","2023-08-22 21:14:14.000","complete","active","6","Boleto",,479.4,,,,
