"CLINIC_ID","CLINIC_CREATED_AT","BUSINESS_SEGMENTATION","IS_CHAIN_CLINIC","FIRST_USER_HUBSPOT_SOURCE","INTEREST_REASONS","INTEREST_CATEGORY_SIGNUP","HAS_INTEREST_BNPL","HAS_INTEREST_BNPL_ONLY","HAS_INTEREST_SAAS","TRIAL_DURATION","TRIAL_START_DATE","TRIAL_END_DATE","TRIAL_START_HOUR","TRIAL_START_HOUR_CATEGORY","TRIAL_START_DAY_OF_WEEK","TRIAL_START_DAY_OF_WEEK_CATEGORY","HAS_USER_CREATED","MARKETING_ATTRIBUITION","MARKETING_ATTRIBUITION_CHANNEL_GROUP","MARKETING_ATTRIBUITION_CAMPAIGN","MARKETING_ATTRIBUITION_CAMPAIGN_PRODUCT","MARKETING_ATTRIBUITION_AD_GROUP","IS_PAID_MEDIUM","HAS_ASKED_FOR_ACCREDITATION","HAS_STARTED_ACCREDITATION_AND_NOT_FINISHED","IS_ACCREDITATION_APPROVED","IS_ACCREDITATION_REPROVED","CLINIC_ACCREDITATION_STATUS","REQUEST_FINISHED_AT","ACCREDITATION_REQUESTED_AT","ACCREDITATION_APPROVED_AT","ACCREDITATION_REJECTED_AT"
"9378","2023-08-09 08:37:11.611","Independente",false,"Inbound","[""finance_management""]","Apenas SaaS",false,false,true,"7","2023-08-09","2023-08-16","8","After Hours","3","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,false,false,false,,,,,
"9379","2023-08-09 09:43:20.601","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-09","2023-08-16","9","Business Hours","3","Weekday",true,"Paid - meta","Paid - meta","meta_fce_bnpl","BNPL","interesses-validados",true,false,false,false,false,,,,,
"9380","2023-08-09 09:49:52.099","Independente",false,"Inbound","[""calendar""]","Apenas SaaS",false,false,true,"7","2023-08-09","2023-08-16","9","Business Hours","3","Weekday",true,"Paid - google","Paid - google","google_search_branding_signup","Branding",,true,false,false,false,false,,,,,
"9382","2023-08-09 11:08:45.296","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-09","2023-08-16","11","Business Hours","3","Weekday",true,"Other","Other",,"None",,false,true,false,false,true,"Reprovado","2023-08-09 16:14:41.210","2023-08-09 16:14:41.211",,"2023-08-09 16:22:41.853"
"9383","2023-08-09 11:23:22.357","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-09","2023-08-16","11","Business Hours","3","Weekday",true,"Organic - social","Organic",,"None",,false,false,true,false,false,"Incompleta",,,,
"9384","2023-08-09 11:50:16.333","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-09","2023-08-16","11","Business Hours","3","Weekday",true,"Paid - meta","Paid - meta","meta_signup_bnpl_Antiga","SaaS",,true,false,true,false,false,"Incompleta",,,,
"9385","2023-08-09 11:54:03.349","Independente",false,"Redes","[""finance_management""]","Apenas SaaS",false,false,true,"7","2023-08-09","2023-08-16","11","Business Hours","3","Weekday",true,"Paid - google","Paid - google","google_search_branding_signup","Branding",,true,false,false,false,false,,,,,
"9386","2023-08-09 13:05:59.249","Independente",false,"Inbound","[""calendar""]","Apenas SaaS",false,false,true,"7","2023-08-09","2023-08-16","13","Business Hours","3","Weekday",true,"Paid - google","Paid - google","google_search_branding_signup","Branding",,true,false,false,false,false,,,,,
"9387","2023-08-09 13:37:02.502","Independente",false,"Inbound","[""finance_management"", ""patients_management"", ""calendar""]","Apenas SaaS",false,false,true,"7","2023-08-09","2023-08-16","13","Business Hours","3","Weekday",true,"Paid - google","Paid - google","google_search_saas_signup","SaaS",,true,false,false,false,false,,,,,
"9388","2023-08-09 13:41:47.048","Independente",false,"Inbound","[""bnpl""]","Apenas BNPL",true,true,false,"7","2023-08-09","2023-08-16","13","Business Hours","3","Weekday",true,"Other","Other",,"None",,false,false,false,false,false,,,,,
